Ost;Nord
1343200;6962600
1706655;7454004
1328431;6961877
1621500;7587700
1524907;7305448
1621850;7586920
1602180;7493783
1458138;7245686
1407137;7183375
1503716;7407447
1518873;7318013
1344950;6875564
1620068;7603016
1621410;7587630
1603728;7594353
1619300;7589040
1484517;7239696
1343200;6962600
1518648;7317832
1600835;7595083
1332209;6942241
1620726;7588120
1451761;7307075
1632647;7282153
1344024;6960464
1620116;7588633
1627332;7533567
1623216;7586962
1331944;6941650
1325185;6920623
1325359;6959295
1435473;7221239
1431997;7217604
1341913;6978380
1328357;6961963
1690878;7532172
1649645;7279078
1452580;7305670
1333202;7012207
1446877;7178396
1624172;7587969
1349032;7001783
1348056;6997673
