Ost;Nord
1351010;6720000
1348090;6724830
1449920;7198910
1394859;6183710
1392095;6201430
1348200;6724840
1357730;6706200
1357890;6706230
1366940;6587360
1436420;6848740
1354290;6652270
1363036;6227403
1679348;7100107
1679394;7099891
1692780;7110340
1679131;7098912
1364910;6690670
1620460;6524300
1679136;7098893
1687551;6422027
1683127;7139730
1351920;6651960
1362990;6694770
1679335;7100136
1633350;7531660
1325800;6707420
1328700;6961670
1325800;6707420
1682507;7139911
1325800;6707420
1682507;7139911
1231400;6537440
1366300;6584200
1231250;6537450
1489100;6470800
1679344;7100139
1650600;7129600
1318227;6163748
1318307;6163737
1277049;6354246
1651200;7127700
1658000;7147700
1344503;6962794
1572037;6625430
1224724;6537655
1224724;6537655
1354486;6173444
1465860;7193140
1610138;7098182
1368800;6572620
1357850;6706300
1365710;6233680
1482370;6879450
1351570;6651845
1276844;6475361
1357850;6706300
1401712;6479014
1759900;7173500
1302800;6645000
1609482;7098625
1609482;7098625
1691513;7533275
1598381;7098351
1609482;7098625
1609330;7099032
1645801;7027374
1610693;7097473
1610129;7098670
1610693;7097473
1610129;7098670
1610693;7097473
1610133;7098663
1611338;7097049
1605170;7098959
1605170;7098959
1607709;7097686
1605321;7098044
1607709;7097686
1607709;7097686
1607709;7097686
1607709;7097686
1607709;7097686
1691542;7533504
1607709;7097686
1607709;7097686
1284643;6337722
1290115;6531323
1465542;6442580
1691513;7533275
1691247;7533254
1302452;6468651
1607535;7095430
1607535;7095430
1605509;7097375
1312656;6529580
1223433;6540588
1312547;6529341
1653295;7577967
1348090;6724830
1351010;6720000
1366430;6688460
1348380;6724630
1357730;6706200
1465783;6668519
1393460;6611540
1366430;6688460
1758332;7132897
1528015;6537396
1295250;6377260
1731841;7129809
1707916;7292454
1759747;7233637
1654882;7155558
1367583;6239437
1668029;6574719
1778070;7162668
1488933;6470243
1456630;6592657
1368574;6686083
1357910;6706250
1348056;6724884
1374005;6672865
1357909;6769343
1370030;6749780
1369526;6751300
1369526;6751300
1357909;6769343
1342515;6794646
1350405;6225684
1350405;6225684
1397809;6158683
1394783;6168391
1298671;6561723
1267499;6391890
1267499;6391890
1258279;6408550
1258279;6408550
1258279;6408550
1258279;6408550
1384070;6469364
1384070;6469364
1224724;6537655
1224724;6537655
1224724;6537655
1224724;6537655
1239289;6509797
1353201;6381152
1353201;6381152
1277391;6465539
1277391;6465539
1302457;6497239
1546295;6606715
1533892;6692618
1477672;6704704
1485487;6710254
1485487;6710254
1440845;6704414
1440845;6704414
1456242;6735480
1451721;6646462
1572037;6625430
1495652;6650320
1725033;7075459
1444197;6708339
1420830;6715349
1420830;6715349
1385530;6731446
1463820;6783978
1514255;6803396
1530635;6817488
1527706;6828710
1527706;6828710
1529931;6822726
1576003;6742280
1559276;6725209
1559276;6725209
1564200;6702326
1566073;6727749
1566073;6727749
1573707;6732100
1537603;6795081
1493283;6894135
1493283;6894135
1493283;6894135
1493283;6894135
1493283;6894135
1518964;6848389
1518964;6848389
1518964;6848389
1510900;6861563
1510900;6861563
1549143;6758750
1549143;6758750
1500928;6806452
1544697;6720831
1544697;6720831
1556161;6797606
1555629;6797954
1572065;6795124
1511533;6932488
1511533;6932488
1336330;7027799
1336330;7027799
1336330;7027799
1336330;7027799
1336330;7027799
1400976;7023087
1400976;7023087
1410257;7026000
1410257;7026000
1721596;7082928
1791041;7286103
1791041;7286103
1793007;7284698
1793007;7284698
1790109;7287282
1790109;7287282
1589358;6709305
1577076;6588553
1480471;6485375
1409393;6318488
1392980;6341815
1466492;6291804
1721596;7082928
1720173;7084412
1720173;7084412
1513542;6343364
1499339;6401639
1499339;6401639
1441565;6228125
1476076;6233219
1476076;6233219
1322680;6226695
1322680;6226695
1322680;6226695
1322680;6226695
1315965;6207960
1315965;6207960
1393595;6159015
1393595;6159015
1405890;6200905
1404950;6204142
1397066;6213664
1396589;6213044
1513542;6343364
1502125;6374436
1505838;6290678
1607156;7097954
1712659;7096841
1508531;7201761
1663404;6369656
1625423;6549446
1611575;6539822
1636698;7001724
1712017;7136164
1369500;6749800
1646651;7163312
1729868;7162784
1730748;7162556
1715170;7378390
1675722;7153816
1714150;7196130
1750720;7087767
1492950;6943489
1748523;7086397
1441751;6931877
1747854;7085680
1383978;6924217
1736373;7111924
1683672;7125303
1568139;6724113
1574490;6934688
1400600;6436730
1527300;6929200
1553881;6940908
1708480;6431250
1708360;6431190
1708190;6431770
1448805;7307060
1572037;6625430
1352741;6843078
1578724;6910441
1369823;6493940
1353201;6381152
1410257;7026000
1492657;6944052
1619079;6615356
1618828;6615261
1335700;6760760
1619424;6618354
1277470;6351581
1277470;6351581
1290510;6367000
1270510;6410350
1471000;6677000
1574960;6650650
1527706;6828710
1518900;7318100
1456710;6226536
1336762;6215346
1335950;6216770
1270530;6410210
1714955;7378465
1399900;6781400
1400900;6784200
1401400;6784500
1267040;6370290
1369500;6749800
1762568;7347702
1668609;7254512
1438553;6854387
1223433;6540588
1331700;6947300
1635000;7534000
1606860;6648940
1363036;6227403
1710683;7089713
1790337;7280965
1790337;7280965
1288150;6401300
1291520;6401595
1350846;6615088
1367000;7020100
1318300;7020600
1608510;7452028
1318730;6674500
1694465;6634620
1775704;7294077
1369083;6687298
1484170;6220140
1656563;7155169
1656563;7155169
1656563;7155169
1605898;6650218
1610188;7097979
1689109;7128604
1675607;7154177
1775704;7294077
1751042;7191121
1323370;6748020
1501574;6648544
1472381;6720394
1476307;6294675
1753887;7193377
1567674;6937242
1624560;7587174
1608501;7609354
1350380;6720805
1636195;7002002
1778792;7267950
1307207;6471007
1450177;7306348
1357730;6706210
1513035;7259332
1523861;7265033
1404787;7019908
1302452;6468651
1374005;6672865
1510080;7279469
1448645;6785995
1546295;6606715
1480471;6485375
1265578;6396612
1265360;6396926
1265578;6396612
1265578;6396612
1619161;6591075
1673078;6652297
1403257;6280728
1330129;6379239
1722238;7134326
1571679;7430205
1567579;7432114
1719466;7210913
1719244;7211223
1719244;7211223
1650100;6678050
1645890;6567240
1325952;6415936
1702013;7558232
1236850;6535470
1265578;6396612
1265578;6396612
1265360;6396926
1265578;6396612
1323826;6760203
1317374;6763208
1701934;7558303
1324915;6382743
1324915;6382743
1222804;6542249
1324915;6382743
1319454;6455404
1319454;6455404
1304444;6444359
1304444;6444359
1249872;6522363
1268103;6411658
1319454;6455404
1304444;6444359
1328885;6433399
1247385;6547685
1247385;6547685
1701952;7558233
1236850;6535470
1656639;7154845
1656605;7154961
1257091;6398693
1609849;7098404
1523690;6461062
1602991;7100752
1729833;7144928
1727073;7088460
1610182;7097974
1579678;7198135
1312350;6765637
1259202;6399044
1610188;7097979
1259255;6398148
1369083;6687298
1366400;6688211
1357730;6706210
1348056;6724884
1482600;6494210
1350380;6720805
1421836;6480860
1231163;6534274
1722238;7134326
1660436;7102213
1659373;6633167
1355172;6176696
1736286;7111088
1601317;7132463
1422126;7048408
1343552;6729569
1618290;7587770
1357910;6706250
1676870;6370720
1350380;6720805
1849540;7321620
1465094;7230061
1363036;6227403
1623994;7587544
1583531;7174667
1231352;6534187
1550688;6551651
1656611;7154851
1769050;7610131
1720644;7194129
1720644;7194129
1762135;7159006
1744462;7205258
1720325;7194759
1744462;7205258
1720325;7194759
1699256;7209345
1722717;7207460
1722717;7207460
1699256;7209345
1744474;7205393
1722717;7207460
1814824;7317753
1592300;6563090
1336285;6735988
1720370;7192748
1609895;6526209
1720615;7194001
1644168;6990939
1400221;6282608
1405648;6294227
1407072;6296251
1405648;6294227
1321380;6564324
1306957;6548166
1555676;6417515
1301163;6505663
1261325;6405481
1320061;6470311
1261325;6405481
1261753;6411630
1363781;6441310
1301529;6506768
1261325;6405481
1423086;6486628
1261325;6405481
1320061;6470311
1261753;6411630
1388267;6465963
1301163;6505663
1413333;6711474
1387474;6469279
1363781;6441310
1361799;6440564
1525135;6671169
1720325;7194759
1276160;6422900
1264335;6396092
1736516;7112121
1440675;6580371
1728911;7084839
1367392;6580438
1676711;7167941
1621804;7587240
1729933;7144471
1728737;7152612
1609835;7097952
1356610;6681472
1736744;7110907
1358074;6681358
1368205;6756375
1357595;6684831
1323195;6277774
1257856;6445382
1737903;7111090
1678910;7075315
1363036;6227403
1696626;7071817
1392662;6300679
1669747;7108935
1609835;7097952
1302838;6527080
1738130;7111140
1386063;6482658
1673203;7060293
1672992;7059820
1675441;7058267
1623155;7588018
1627061;7587202
1623155;7588018
1760126;7135884
1681600;6627670
1633391;7588531
1338076;6613263
1727785;7149345
1504033;7407732
1524047;7386344
1692624;7110248
1273770;6550630
1369500;6749800
1357552;6882702
1504999;6294898
1363399;6878845
1359016;6877548
1618379;7045759
1618367;7045739
1659807;7037133
1618379;7045759
1659807;7037133
1618367;7045739
1566790;7278273
1595219;7167566
1532445;7291560
1656611;7154834
1656648;7154810
1656640;7154850
1656655;7154847
1737106;7111367
1656640;7154850
1737131;7111377
1737123;7111393
1737106;7111367
1366750;6613600
1366910;6588330
1366910;6588330
1359737;6587450
1357973;6687084
1369120;6573095
1338076;6613263
1621007;6560922
1750342;7276412
1743253;7301410
1637542;6614894
1573733;6570968
1563299;6526957
1419104;6647267
1393748;6611336
1621841;7587896
1575917;6651482
1448915;6786810
1448645;6785995
1736267;7111893
1336285;6735988
1324697;6736665
1274800;6451300
1411674;6492915
1397170;6518674
1392713;6472581
1392713;6472581
1392713;6472581
1384104;6447760
1384104;6447760
1384104;6447760
1357253;6481811
1357253;6481811
1357253;6481811
1353912;6415230
1353912;6415230
1353912;6415230
1350574;6401412
1350574;6401412
1350574;6401412
1350574;6401412
1350574;6401412
1347742;6435026
1347742;6435026
1335339;6351451
1303610;6459049
1298951;6402646
1298951;6402646
1282170;6493370
