Ost;Nord
1401796;6194137
1551494;6277057
1456966;6579298
1347278;6176263
1313900;6144546
1355028;6175882
1551494;6277057
1551494;6277057
1551494;6277057
1551494;6277057
1552030;6273400
1551494;6277057
1668540;6678179
1704717;6613130
1258591;6398748
1547250;6283530
1310900;6205300
1545690;6283680
1354580;6173510
1355028;6175882
1354112;6173472
1353853;6177816
1670013;6359653
1348139;6164509
1398000;6207160
1673892;6347536
1354035;6173401
1336425;6172615
1353450;6142030
1659094;6541078
1352200;6177800
1351620;6177350
1405501;6201413
1354590;6175870
1352609;6175309
1354777;6175972
1549274;6303296
1690082;6580590
1354000;6173600
1547654;6296441
1403470;6149643
1312177;6146384
1354580;6173510
1658861;6540967
1655883;6548882
1690082;6580590
1542906;6277249
1545591;6244794
1689360;6586757
1701801;6429275
1405093;6204113
1405501;6201413
1403587;6200730
1550491;6273307
1549474;6300991
1396745;6213019
1257281;6398517
1677799;6363859
1354446;6173608
1545690;6283680
1317262;6160529
1692514;6591138
1399580;6200750
1547200;6283563
1331940;6162909
1416168;6211632
1267572;6392286
1353450;6142030
1546297;6283438
1547018;6279087
1551490;6277088
1405501;6201413
1295555;6242899
1405093;6204113
1335957;6139786
1320548;6190050
1547495;6280984
1336034;6187211
1551249;6291282
1549635;6290676
1542377;6237346
1547656;6267843
1258921;6398685
1539836;6246990
1513376;6685152
1646984;6358606
1538685;6232108
1323630;6181339
1400923;6208903
1671897;6401366
1346239;6176378
1690082;6580590
1361469;6146914
1353390;6141790
1352229;6177689
1536909;6230039
1565144;6319118
1315476;6145679
1468954;6571823
1295277;6243539
1403320;6209522
1538488;6275363
1543890;6267190
1540380;6233307
1690082;6580590
1336742;6230929
1438350;6466920
1354200;6173800
1403957;6203767
1472859;6485197
1398103;6194429
1694479;6634583
1403823;6201850
1550995;6285382
1403515;6201635
1753342;7078149
1320298;6152768
1405313;6201156
1405748;6201006
1453516;6376645
1353450;6142030
1471857;6363176
1396300;6206300
1403707;6203261
1396100;6206800
1396300;6206300
1318470;6157263
1316333;6158648
1668292;6678330
1538757;6254568
1403440;6201715
1348327;6149181
1525991;6611341
